"ID","Genotype","APA","Year","TrainSessionCombo","NumEntrances","NumShock","TimeTarget","Time1stEntr","Time1stShock","entranceshockequal","firstentranceshockequal"
"16-122C","WT","trained_conflict","2016","T4_C1",7,9,10.402,5.03,5.03,"not equal","equal"
"16-122A","WT","trained_trained","2016","T2",7,9,13.034,19.47,19.47,"not equal","equal"
"15140C","WT","trained_trained","2015","Retest",7,10,12.901,17.57,17.57,"not equal","equal"
"16-125A","WT","trained_trained","2016","Retest",7,10,18.299,224.3,224.3,"not equal","equal"
"16-120B","FMR1-KO","trained_trained","2016","Retest",7,11,19.565,3.27,3.27,"not equal","equal"
"16-125C","WT","trained_conflict","2016","T6_C3",7,12,18.366,6.97,6.97,"not equal","equal"
"16-119C","FMR1-KO","trained_conflict","2016","Retention",7,12,22.398,314.17,314.17,"not equal","equal"
"16-125A","WT","trained_trained","2016","T3",7,16,27.566,206.63,206.63,"not equal","equal"
"15142B","WT","yoked_conflict","2015","T5_C2",7,16,31.368,1.03,1.03,"not equal","equal"
"16-126B","WT","yoked_trained","2016","T1",7,25,52.768,42.5,42.5,"not equal","equal"
"16-117C","FMR1-KO","trained_conflict","2016","T5_C2",8,8,6.333,8.7,8.7,"equal","equal"
"16-123C","WT","trained_conflict","2016","T4_C1",8,8,7.601,147.67,147.67,"equal","equal"
"16-121C","FMR1-KO","trained_conflict","2016","T2",8,8,7.801,13.1,13.1,"equal","equal"
"15146C","WT","trained_trained","2015","T6_C3",8,8,7.833,62.4,62.4,"equal","equal"
"15141C","WT","trained_trained","2015","T1",8,8,8.001,1.37,1.37,"equal","equal"
"16-117C","FMR1-KO","trained_conflict","2016","T4_C1",8,8,8.269,18.5,18.5,"equal","equal"
"16-117A","FMR1-KO","trained_trained","2016","T1",8,8,8.601,5.17,5.17,"equal","equal"
"16-121A","FMR1-KO","yoked_trained","2016","T1",8,9,8.065,41,41,"not equal","equal"
"16-117D","FMR1-KO","trained_conflict","2016","T5_C2",8,9,8.599,45.33,45.33,"not equal","equal"
"16-116A","FMR1-KO","trained_trained","2016","Retest",8,9,10.732,26.97,26.97,"not equal","equal"
"16-122A","WT","trained_trained","2016","T3",8,9,11.168,52.53,52.53,"not equal","equal"
"16-126A","WT","trained_trained","2016","T2",8,9,14.097,15.7,15.7,"not equal","equal"
"16-117C","FMR1-KO","trained_conflict","2016","T2",8,9,18.202,11.27,11.27,"not equal","equal"
"16-119A","FMR1-KO","trained_trained","2016","T1",8,10,12.565,3.9,3.9,"not equal","equal"
"16-126A","WT","trained_trained","2016","Retention",8,16,28.432,110.43,110.43,"not equal","equal"
"15141C","WT","trained_trained","2015","Retention",8,21,35.798,30.53,30.53,"not equal","equal"
"16-125B","WT","yoked_trained","2016","T2",8,21,48.606,38.37,38.37,"not equal","equal"
"15140D","WT","yoked_trained","2015","T3",8,22,41.531,66.5,66.5,"not equal","equal"
"16-125B","WT","yoked_trained","2016","T5_C2",8,22,46.53,88.3,88.3,"not equal","equal"
"16-123D","WT","yoked_conflict","2016","T5_C2",8,23,42.368,16.87,16.87,"not equal","equal"
"16-123B","WT","yoked_trained","2016","T1",8,24,48.565,16.67,16.67,"not equal","equal"
"15143D","WT","yoked_trained","2015","T2",8,24,54.271,82.33,82.33,"not equal","equal"
"16-124C","WT","trained_conflict","2016","Retention",8,25,49.832,234.6,234.6,"not equal","equal"
"16-122C","WT","trained_conflict","2016","Retention",8,28,57.97,226.77,226.77,"not equal","equal"
"15143A","WT","trained_conflict","2015","Retention",8,33,61.634,44.2,44.2,"not equal","equal"
"15142D","WT","yoked_trained","2015","T5_C2",8,39,77.899,21.1,21.1,"not equal","equal"
"15148A","WT","trained_conflict","2015","T6_C3",9,9,6,54.43,54.43,"equal","equal"
"15145C","WT","trained_trained","2015","T5_C2",9,9,7.2,0.53,0.53,"equal","equal"
"16-119A","FMR1-KO","trained_trained","2016","T2",9,9,7.468,41.43,41.43,"equal","equal"
"15147A","WT","trained_conflict","2015","T6_C3",9,9,7.869,32.03,32.03,"equal","equal"
"16-125C","WT","trained_conflict","2016","T1",9,9,8.233,45.6,45.6,"equal","equal"
"16-119D","FMR1-KO","trained_conflict","2016","T6_C3",9,9,8.334,0.5,0.5,"equal","equal"
"16-116C","FMR1-KO","trained_conflict","2016","T1",9,9,8.602,15.67,15.67,"equal","equal"
"15144C","WT","trained_trained","2015","T1",9,9,8.767,2.8,2.8,"equal","equal"
"16-123C","WT","trained_conflict","2016","T1",9,9,10.366,2.77,2.77,"equal","equal"
"16-125C","WT","trained_conflict","2016","T5_C2",9,10,9.301,0.53,0.53,"not equal","equal"
"16-126A","WT","trained_trained","2016","T6_C3",9,10,10.966,22.03,22.03,"not equal","equal"
"16-124C","WT","trained_conflict","2016","T1",9,10,10.966,15.67,15.67,"not equal","equal"
"16-122C","WT","trained_conflict","2016","T1",9,10,15.4,15.97,15.97,"not equal","equal"
"16-118A","FMR1-KO","trained_trained","2016","T2",9,10,15.766,39.6,39.6,"not equal","equal"
"16-118A","FMR1-KO","trained_trained","2016","T3",9,11,14.902,40,40,"not equal","equal"
"16-116A","FMR1-KO","trained_trained","2016","T2",9,12,12.698,0.53,0.53,"not equal","equal"
"16-125A","WT","trained_trained","2016","T4_C1",9,17,38.631,63.23,63.23,"not equal","equal"
"16-121B","FMR1-KO","trained_trained","2016","Retention",9,21,42.401,411.97,411.97,"not equal","equal"
"16-125B","WT","yoked_trained","2016","T6_C3",9,27,58.83,23.87,23.87,"not equal","equal"
"16-125C","WT","trained_conflict","2016","Retention",9,29,55.565,29.67,29.67,"not equal","equal"
"15140B","WT","yoked_conflict","2015","T2",9,30,57.765,31.1,31.1,"not equal","equal"
"15140B","WT","yoked_conflict","2015","T6_C3",9,32,62.799,61.77,61.77,"not equal","equal"
"15148C","WT","trained_conflict","2015","Retention",9,37,78.035,21.37,21.37,"not equal","equal"
"15141C","WT","trained_trained","2015","T4_C1",10,10,8.064,39.7,39.7,"equal","equal"
"15143A","WT","trained_conflict","2015","T1",10,10,8.202,3.67,3.67,"equal","equal"
"16-123C","WT","trained_conflict","2016","T2",10,10,8.765,0.87,0.87,"equal","equal"
"16-118B","FMR1-KO","trained_trained","2016","T1",10,10,8.8,0.63,0.63,"equal","equal"
"15143C","WT","trained_trained","2015","T1",10,10,9.198,4.13,4.13,"equal","equal"
"15145C","WT","trained_trained","2015","T1",10,10,9.601,2.9,2.9,"equal","equal"
"16-119D","FMR1-KO","trained_conflict","2016","T4_C1",10,10,10.2,16.83,16.83,"equal","equal"
"16-117C","FMR1-KO","trained_conflict","2016","Retest",10,10,11.17,102.13,102.13,"equal","equal"
"16-123C","WT","trained_conflict","2016","T3",10,10,11.533,37.47,37.47,"equal","equal"
"16-118C","FMR1-KO","trained_conflict","2016","Retest",10,10,12.833,12.5,12.5,"equal","equal"
"15141C","WT","trained_trained","2015","T3",10,11,9.433,32,32,"not equal","equal"
"15141A","WT","trained_conflict","2015","T2",10,12,13.567,38.83,38.83,"not equal","equal"
"15140A","WT","trained_conflict","2015","T4_C1",10,13,17.735,0.87,0.87,"not equal","equal"
"16-125C","WT","trained_conflict","2016","T3",10,14,16.834,87.8,87.8,"not equal","equal"
"15147B","WT","yoked_conflict","2015","T4_C1",10,18,37.068,22.73,22.73,"not equal","equal"
"16-119B","FMR1-KO","yoked_trained","2016","T4_C1",10,26,44.332,69.37,69.37,"not equal","equal"
"15145C","WT","trained_trained","2015","Retention",10,28,52.701,68.53,68.53,"not equal","equal"
"16-125B","WT","yoked_trained","2016","Retest",10,29,66.133,94.67,94.67,"not equal","equal"
"16-120D","FMR1-KO","yoked_conflict","2016","T1",10,30,55.367,27.73,27.73,"not equal","equal"
"15144B","WT","yoked_conflict","2015","T2",10,31,60.734,1.57,1.57,"not equal","equal"
"15142B","WT","yoked_conflict","2015","T4_C1",10,31,64.264,9.63,9.63,"not equal","equal"
"15147B","WT","yoked_conflict","2015","Retention",10,32,60.599,19.57,19.57,"not equal","equal"
"16-126B","WT","yoked_trained","2016","T2",10,32,75.002,31.77,31.77,"not equal","equal"
"16-120D","FMR1-KO","yoked_conflict","2016","T3",10,43,82.134,11.17,11.17,"not equal","equal"
"16-117B","FMR1-KO","yoked_trained","2016","T4_C1",10,44,83.935,130.57,130.57,"not equal","equal"
"16-118D","FMR1-KO","yoked_conflict","2016","T1",10,44,86.333,18,18,"not equal","equal"
"16-120B","FMR1-KO","trained_trained","2016","T6_C3",11,11,11.098,34.83,34.83,"equal","equal"
"16-124B","WT","trained_trained","2016","T5_C2",11,11,13.865,49.67,49.67,"equal","equal"
"16-121C","FMR1-KO","trained_conflict","2016","T4_C1",11,12,10.264,0.53,0.53,"not equal","equal"
"16-120A","FMR1-KO","trained_trained","2016","T1",11,12,11.235,9.53,9.53,"not equal","equal"
"16-121C","FMR1-KO","trained_conflict","2016","T1",11,12,12.198,37.97,37.97,"not equal","equal"
"16-122A","WT","trained_trained","2016","T1",11,12,12.599,33.77,33.77,"not equal","equal"
"16-118C","FMR1-KO","trained_conflict","2016","T3",11,12,14.167,39.43,39.43,"not equal","equal"
"16-124B","WT","trained_trained","2016","T6_C3",11,12,14.964,0.53,0.53,"not equal","equal"
"16-124B","WT","trained_trained","2016","T4_C1",11,13,16.1,7.37,7.37,"not equal","equal"
"16-125D","WT","trained_conflict","2016","Retention",11,21,41.701,158.93,120.97,"not equal","not equal"
"16-116A","FMR1-KO","trained_trained","2016","Retention",11,22,47.432,197.6,197.6,"not equal","equal"
"16-116D","FMR1-KO","yoked_conflict","2016","T5_C2",11,24,44.036,0.53,0.53,"not equal","equal"
"16-357A","WT","yoked_trained","2016","Retention",11,24,46.502,190.3,190.3,"not equal","equal"
"15141D","WT","yoked_trained","2015","T3",11,27,57.465,43.47,43.47,"not equal","equal"
"16-119B","FMR1-KO","yoked_trained","2016","T6_C3",11,30,57.666,19.63,19.63,"not equal","equal"
"16-125B","WT","yoked_trained","2016","T3",11,31,59.232,0.53,0.53,"not equal","equal"
"16-121A","FMR1-KO","yoked_trained","2016","T3",11,35,65.596,42,42,"not equal","equal"
"16-117B","FMR1-KO","yoked_trained","2016","Retest",11,39,75.834,28.33,28.33,"not equal","equal"
"15148A","WT","trained_conflict","2015","Retention",11,40,73.8,75.37,75.37,"not equal","equal"
"15146B","WT","yoked_conflict","2015","T6_C3",11,43,85.67,0.53,0.53,"not equal","equal"
"15146B","WT","yoked_conflict","2015","Retention",11,43,86,16.8,16.8,"not equal","equal"
"15147B","WT","yoked_conflict","2015","T6_C3",11,44,83.533,62.93,62.93,"not equal","equal"
"15148B","WT","yoked_conflict","2015","Retention",11,44,89.331,45.93,45.93,"not equal","equal"
"16-117B","FMR1-KO","yoked_trained","2016","T1",11,47,89.433,7.23,7.23,"not equal","equal"
"16-122B","WT","yoked_trained","2016","T1",11,50,91.334,40.33,40.33,"not equal","equal"
"15147D","WT","yoked_trained","2015","T5_C2",11,50,103.302,11.23,11.23,"not equal","equal"
"15147D","WT","yoked_trained","2015","T6_C3",11,51,97.565,30.03,30.03,"not equal","equal"
"15146B","WT","yoked_conflict","2015","T5_C2",11,63,121.667,0.57,0.57,"not equal","equal"
"15141C","WT","trained_trained","2015","T6_C3",12,12,6,3.13,3.13,"equal","equal"
"15144A","WT","trained_conflict","2015","T1",12,12,9.498,7.97,7.97,"equal","equal"
"16-125C","WT","trained_conflict","2016","T4_C1",12,13,12.1,15.77,15.77,"not equal","equal"
"16-124B","WT","trained_trained","2016","Retest",12,13,15.201,12.17,12.17,"not equal","equal"
"15143A","WT","trained_conflict","2015","T4_C1",12,14,16.098,0.5,0.5,"not equal","equal"
"16-124A","WT","trained_trained","2016","T1",12,15,17.399,6.27,6.27,"not equal","equal"
"15148C","WT","trained_conflict","2015","T3",12,15,18.833,18.5,18.5,"not equal","equal"
"16-120C","FMR1-KO","trained_conflict","2016","T1",12,17,22.5,5.87,5.87,"not equal","equal"
"16-123A","WT","trained_trained","2016","T6_C3",12,17,22.768,50.87,50.87,"not equal","equal"
"16-120B","FMR1-KO","trained_trained","2016","T4_C1",12,17,24.6,5.8,5.8,"not equal","equal"
"16-118A","FMR1-KO","trained_trained","2016","T1",12,25,40.667,1.9,1.9,"not equal","equal"
"15146D","WT","yoked_trained","2015","T4_C1",12,25,54.497,46.2,46.2,"not equal","equal"
"16-117B","FMR1-KO","yoked_trained","2016","T2",12,28,53.668,114.03,114.03,"not equal","equal"
