"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"WT","2016","train-conflict","Hab","16-123D","yoked",57,28,106.767,1.63,1.63,"16-123C","trained",42,22,85.234,27.73,2.2
"FMR1-KO","2016","train-conflict","Retention","16-118D","yoked",57,23,111.666,11.43,2.1,"16-118C","trained",4,3,5.999,131.73,131.73
"WT","2015","train-train","T1","15140D","yoked",58,25,97.999,21.8,21.8,"15140C","trained",6,6,6.333,1.73,1.73
"WT","2015","train-train","Retest","15142D","yoked",58,15,115.436,21.23,21.23,"15142C","trained",1,1,0.701,148.13,148.13
"WT","2015","train-train","T6_C3","15145D","yoked",58,26,117.532,19.53,19.53,"15145C","trained",13,13,9.401,31.9,31.9
"WT","2016","train-conflict","T4_C1","16-124D","yoked",58,19,112.335,16.83,16.83,"16-124C","trained",3,3,2.001,74.97,74.97
"FMR1-KO","2016","train-train","T2","16-116B","yoked",58,19,110.33,1.17,1.17,"16-116A","trained",12,9,12.698,0.53,0.53
"FMR1-KO","2016","train-conflict","T+_C+","16-116D","yoked",58,22,118.368,10.5,10.5,"16-116C","trained",1,1,0.867,378.5,378.5
"WT","2015","train-train","Hab","15143D","yoked",59,38,95.336,30.47,30.47,"15143C","trained",52,31,96.04,0.53,0.53
"WT","2015","train-train","T6_C3","15144D","yoked",59,13,120.931,0.53,0.53,"15144C","trained",1,1,0.667,46.53,46.53
"WT","2015","train-train","Hab","15147D","yoked",59,34,109.605,8.33,8.33,"15147C","trained",49,25,88.002,6.87,6.87
"WT","2015","train-conflict","T1","15142B","yoked",59,17,115.865,2.87,2.87,"15142A","trained",7,7,4.668,3.83,3.83
"WT","2015","train-conflict","T4_C1","15146B","yoked",59,15,113.202,15.1,15.1,"15146A","trained",26,24,24.033,0.53,0.53
"WT","2016","train-train","T4_C1","16-123B","yoked",59,14,116.536,42.33,42.33,"16-123A","trained",6,6,5.131,126.23,126.23
"FMR1-KO","2016","train-train","Retest","16-121A","yoked",59,21,114.533,0.53,0.53,"16-121B","trained",4,4,2.967,97.77,97.77
"WT","2015","train-train","Retest","15143D","yoked",60,16,120.099,23.07,23.07,"15143C","trained",2,2,1.3,275.53,275.53
"WT","2015","train-train","Retest","15144D","yoked",60,19,123.568,24.57,24.57,"15144C","trained",1,1,0.934,593.9,593.9
"WT","2015","train-train","T1","15145D","yoked",60,26,118.369,40,40,"15145C","trained",10,10,9.601,2.9,2.9
"WT","2015","train-conflict","Retest","15143B","yoked",60,16,126.597,25.1,25.1,"15143A","trained",2,2,1.299,98.2,98.2
"FMR1-KO","2016","train-conflict","T2","16-116D","yoked",60,19,108.037,31.97,31.97,"16-116C","trained",5,5,5.301,43.97,43.97
"WT","2015","train-train","Hab","15140D","yoked",61,35,107.802,8.8,8.8,"15140C","trained",62,28,114.934,0.53,0.53
"WT","2015","train-train","T3","15142D","yoked",61,15,115.302,34.17,34.17,"15142C","trained",1,1,0.767,64.83,64.83
"WT","2015","train-train","T6_C3","15146D","yoked",61,15,120.901,23.77,23.77,"15146C","trained",8,8,7.833,62.4,62.4
"WT","2015","train-conflict","T3","15145B","yoked",61,20,118.933,11.47,11.47,"15145A","trained",1,1,0.633,324.37,324.37
"WT","2015","train-conflict","T3","15147B","yoked",61,15,119.369,18,18,"15147A","trained",1,1,0.533,180.6,180.6
"WT","2015","train-conflict","T2","15148B","yoked",61,23,118.57,50.57,50.57,"15148A","trained",1,1,0.999,454.03,454.03
"WT","2015","train-conflict","Hab","15148D","yoked",61,25,126.207,12.5,12.5,"15148C","trained",50,25,97.966,2.73,2.73
"WT","2016","train-train","T5_C2","16-122B","yoked",61,17,119.164,10.73,10.73,"16-122A","trained",3,3,3.034,37.3,37.3
"WT","2016","train-train","T+_C+","16-123B","yoked",61,22,122.535,23.67,4.5,"16-123A","trained",0,0,0,600,600
"WT","2015","train-conflict","T1","15144B","yoked",62,22,117.771,20.13,20.13,"15144A","trained",12,12,9.498,7.97,7.97
"WT","2015","train-conflict","T2","15146B","yoked",62,15,131.034,22,22,"15146A","trained",2,2,2.369,8.47,8.47
"FMR1-KO","2016","train-train","T1","16-116B","yoked",62,17,119.764,8.6,8.6,"16-116A","trained",16,16,17.298,8.43,8.43
"WT","2015","train-train","T2","15145D","yoked",63,18,144.063,100.9,100.9,"15145C","trained",7,6,8,14.83,14.83
"WT","2015","train-train","Retention","15145D","yoked",63,15,127.67,19.43,19.43,"15145C","trained",28,10,52.701,68.53,68.53
