"Mouse","Year","Genotype","Behavior","E.phy","YokedTo","Conflict","APA","Group","notes","collector","Tube","Slice","Punch","photos","Date","ready.time","start.time","end.time","Slice.collector","Punch.Collector","SliceSize","Punchsize","punch.location","RNAisolationdate","RNAisolator","slice.location","best.location","jobnumber","RNAseqID","Mouse.short","Random","storagebox","year","Purpose","region","X"
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BIB","1","CA4","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BIC","2","CA4","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BID","3","CA4","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BIE","4","CA4","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BIF","1","CA2","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BIG","2","CA2","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BIH","3","CA2","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BII","4","CA2","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BMH","1","CA1","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BMI","2","CA1","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BMJ","3","CA1","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BMK","4","CA1","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BML","2","DG","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BMM","3","DG","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BMN","4","DG","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
"16-117A","Summer2016","FMR1","","","","NoConflict","Trained","FMR1 NoConflict Trained","","MK","BMQ","2","CA3","yes","7/4/16","11:00","12:50","13:04","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"4 - BJP - BNB",2016,"Collaboratorium","hippocampus",NA
