Tube,Mouse,Slice,Punch,photos,notes,Date,ready.time,start.time,end.time,Slice.collector,Punch.Collector,SliceSize,Punchsize,punch.location,RNAisolationdate,RNAisolator,slice.location,best location,jobnumber,RNAseqID,Mouse-short,Random,storagebox,year,Purpose,region
FM,15-140D,2,CA1,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FN,15-140D,3,CA1,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FO,15-140D,3,DG,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FP,15-140D,2,DG,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FQ,15-140D,1,DG,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/25/15,BK,,,,,140D,,,2015,Collaboratorium,
FR,15-141C,1,CA4,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141C,,,2015,Collaboratorium,
FS,15-141C,2,CA4,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/10/16,,,,,,141C,,,2015,Collaboratorium,
FT,15-141C,2,CA3,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141C,,,2015,Collaboratorium,
FU,15-141C,2,CA3,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,141C,,,2015,Collaboratorium,
FV,15-141C,1,CA3,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141C,,,2015,Collaboratorium,
FW,15-141C,1,DG,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141C,,,2015,Collaboratorium,
FY,15-141C,2,DG,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,141C,,,2015,Collaboratorium,
FZ,15-141C,2,CA2,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/10/16,,,,,,141C,,,2015,Collaboratorium,
GA,15-141C,1,CA2,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141C,,,2015,Collaboratorium,
GB,15-141C,1,CA1,,dried out,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141C,,,2015,Collaboratorium,
GC,15-141C,2,CA1,,dried out,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,141C,,,2015,Collaboratorium,
GD,15-141D,1,CA2,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GE,15-141D,2,CA2,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/10/16,,,,,,141D,,,2015,Collaboratorium,
GF,15-141D,3,CA2,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GG,15-141D,3,CA1,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GH,15-141D,2,CA1,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,141D,,,2015,Collaboratorium,
GI,15-141D,1,CA1,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GJ,15-141D,1,CA4,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GK,15-141D,2,CA4,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/10/16,,,,,,141D,,,2015,Collaboratorium,
GL,15-141D,3,CA4,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GM,15-141D,3,CA3,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GN,15-141D,2,CA3,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,141D,,,2015,Collaboratorium,
GO,15-141D,1,CA3,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GP,15-141D,1,DG,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,?,,,,,,141D,,,2015,Collaboratorium,
GQ,15-141D,2,DG,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,141D,,,2015,Collaboratorium,
GR,15-141D,2,DG,,,6/26/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,141D,,,2015,Collaboratorium,
GS,15-144E,1,CA1,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
GT,15-144E,1,DG,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
GU,15-144E,1,CA3,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
GV,15-144E,1,CA2,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
GW,15-144E,1,CA4,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
GX,15-144E,2,DG,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
GY,15-144E,3,DG,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
GZ,15-144E,4,DG,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
HA,15-144E,3,CA3,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
HB,15-144E,2,CA3,,Bad! Gooey and dried out,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
HC,15-144E,3,CA1,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
HD,15-144E,3,CA4,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
HE,15-144E,3,CA2,,,6/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,6/30/15,RMH,,,,,144E,,,2015,Collaboratorium,
HF,15-142A,1,CA4,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HF 2,15-142C,1,DG,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,4/13/16,RMH,,,JA16268,142C_DG_S,142C,,,2015,Collaboratorium,
HG,15-142A,2,CA4,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HG 2,15-142C,2,DG,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,4/13/16,RMH,,,JA16268,142C_DG_D,142C,,,2015,Collaboratorium,
HH,15-142A,3,CA4,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HH 2,15-142C,3,DG,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,SORT OF ABOVE CELL LAYER,,,,,,,142C,,,2015,Collaboratorium,
HI,15-142A,4,DG,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HI 2,15-142C,3,DG,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,CELL LAYER AND BELOW,,,,,,,142C,,,2015,Collaboratorium,
HJ,15-142A,3,DG,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HJ 2,15-142C,4,DG,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,4/13/16,RMH,,,JA16268,142C_DG_D,142C,,,2015,Collaboratorium,
HK,15-142A,2,DG,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HK 2,15-142C,4,CA1,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,4/13/16,RMH,,,JA16268,142C_CA1_S,142C,,,2015,Collaboratorium,
HL,15-142A,1,DG,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HL 2,15-142C,3,CA1,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,4/13/16,RMH,,,JA16268,142C_CA1_D,142C,,,2015,Collaboratorium,
HM,15-142A,1,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HM 2,15-142C,2,CA1,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,4/13/16,RMH,,,JA16268,142C_CA1_D,142C,,,2015,Collaboratorium,
HN,15-142A,2,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HN 2,15-142C,1,CA1,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142C,,,2015,Collaboratorium,
HO,15-142A,3,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HO 2,15-142C,3,CA4,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142C,,,2015,Collaboratorium,
HP,15-142A,4,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HP 2,15-142C,4,CA4,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142C,,,2015,Collaboratorium,
HQ,15-142A,4,CA3,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HQ 2,15-142C,4,CA3,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142C,,,2015,Collaboratorium,
HR,15-142A,3,CA3,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HR 2,15-142C,3,CA3,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142C,,,2015,Collaboratorium,
HS,15-142A,2,CA3,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HS 2,15-142C,3,CA2,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142C,,,2015,Collaboratorium,
HT,15-142A,1,CA3,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HT 2,15-142C,4,CA2,slice photos,,7/6/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142C,,,2015,Collaboratorium,
HU,15-142A,1,CA2,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HV,15-142A,3,CA2,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142A,,,2015,Collaboratorium,
HW,15-142B,2,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
HX,15-142B,3,DG,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
HY,15-142B,2,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
HZ,15-142B,1,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
IA,15-142B,1,CA2,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
IB,15-142B,4,CA1,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
IC,15-142B,4,CA2,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
ID,15-142B,4,CA3,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
IE,15-142B,1,CA3,,,7/2/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,142B,,,2015,Collaboratorium,
