"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"T1_Max50.RngHiBin",-0.0332492589602268,0.0414156175939931,0.0714659625173416,0.00981383313849978,0.12232025330383,-0.141647577480991,-0.00669004991871052,-0.0221363596140417,0.0264915632210376,0.0022936229762376,0.0706788818661022,0.0554785960514358,-0.0195972305561498,-0.0203478776553203,0.092496625120602,0.0265806938389912,-0.0117764748367445
"T1_Max50.RngLoBin",-0.0353483400831829,0.00279576972982098,0.0745784031591294,-0.0292968366694677,0.155774899054981,-0.11654392917084,-0.0162899037578333,-0.00568911070635572,-0.018229315781085,-0.00159457447991504,0.0268184524572624,0.0291636293641869,-0.0269115536902812,-0.0200853567916609,0.083415044788676,0.0739776452164643,0.137065869634801
"T1_MaxPathAvoid",0.041358871915385,0.0439960377161505,-0.0760907910255997,-0.030830848536346,0.100759297993274,-0.0277224068936261,-0.053155528480487,0.0274223894580955,0.0965268882782876,0.137808152714099,-0.0206844300009557,-0.0524110607048997,-0.0400474066990441,-0.0330938366327262,-0.134576705614435,0.0878120661104322,-0.0326681986782667
"T1_MaxTimeAvoid",-0.0186877998967093,0.0559463339229789,-0.00434695521159114,-0.0440266168908435,0.142669559445535,0.0315596000152886,0.0313990405634148,0.0498264110996339,0.00527095605243642,0.15378807306226,-0.0803734054554154,-0.0190316515471414,-0.0721292635718637,-0.0169365309408456,-0.0259198059341805,-0.138352727837181,0.0839889098520783
"T1_Min50.RngHiBin",-0.0243539378311781,0.0234652739420507,0.0814233369177048,-0.0707888905810799,0.128505345392627,-0.101012368474377,-0.034181411382485,-0.00355531733724644,0.0148665759279941,0.0353887950308565,-0.0138638718688957,0.0388733124740032,-0.0825855997631808,-0.0800175725067008,0.102409531370844,0.0550109415282791,-0.0844038308961198
"T1_Min50.RngLoBin",-0.0280623327730537,0.0554522124450104,0.0748619982471173,-0.0257682783528025,0.103933507344925,-0.134208485302315,-0.0205703893944207,-0.0183439986013153,0.0424105519575059,0.0401505314030222,0.032365338199105,0.0711617724822193,-0.0517068059573203,-0.0741047053379558,0.102688341963476,0.0198704487301712,-0.0137712728518807
"T1_NumEntrances",-0.00478744393302392,-0.0140243317032015,-0.0084313686468455,0.0482704545299416,-0.197389450286771,-0.0218748936747113,-0.0214796465202744,0.0114402582137683,0.0250434281215912,-0.049125193963299,0.0710216145615212,0.0869515278606438,0.0507987603070152,0.0873567231566192,0.00424352128529058,0.0387742826585401,0.00614870922778307
"T1_NumShock",-0.0102998251246576,-0.0238420482289941,-0.0182413503014782,0.0586858392295056,-0.178677429872055,0.0150580815144936,-0.0803795104300183,0.0169458147780172,0.0289429165984771,0.0247707796628295,0.0356008144026838,0.0843734603327671,0.084457818763544,0.101568414321468,0.0524901036332073,0.0161260345570819,0.00274194523496649
"T1_Path1stEntr",-0.0609083262197733,-0.0680909788347156,-0.0507489369155134,0.0162434214657765,0.0787875627087752,-0.0297268799057427,-0.042825029903593,-0.0757094622196129,-0.0187636415941519,0.0836819943111484,-0.0403118697294528,-0.122643277791097,-0.0382879618701039,0.148930075975259,-0.072142761516372,-0.0609144980277856,0.0218746248801346
"T1_Path1stShock",-0.0609083262197733,-0.0680909788347156,-0.0507489369155134,0.0162434214657765,0.0787875627087752,-0.0297268799057427,-0.042825029903593,-0.0757094622196129,-0.0187636415941519,0.0836819943111484,-0.0403118697294528,-0.122643277791097,-0.0382879618701039,0.148930075975259,-0.072142761516372,-0.0609144980277856,0.0218746248801346
"T1_Path2ndEntr",-0.0148929857778271,0.0420139485483128,-0.0309877326699153,0.074793059473836,0.0576319826060901,-0.121698776825458,-0.000307110780669729,0.101855854990482,-0.0314655074609571,-0.031428153168832,0.0457118843350252,0.0647483813595449,0.173138713604158,0.0548724885294861,-0.108525942718429,0.0511486118307142,-0.023360946225627
"T1_PolarAvgVal",-0.00845277604346205,0.0332861463898461,0.0760272372787805,-0.0408870610958036,0.156681255678652,-0.101786583545756,-0.00498282376725299,-0.0387285036406227,0.0208712569967575,-0.0364642967889679,-0.0264483439894013,0.0516593198196835,-0.0296764160278523,-0.0616460078611234,0.0970827010361219,-0.0221626130489925,0.0913068177349756
"T1_PolarMaxBin",-0.0232767123631551,-0.00365385235047693,0.0677991392869234,-0.0761292028806311,0.133080852117674,-0.116797297440442,-0.0653827653326356,-0.000561532770387571,0.027149424078226,-0.0268046918751202,-0.040593708019499,0.0426462902862361,-0.0319962695709259,-0.0520472210635569,-0.00762851268284495,0.0945679286006992,0.0107583378529938
"T1_PolarMaxVal",-0.00811721668215921,-0.0834125875131211,-0.0425569712778261,-0.0629125798649235,0.0280987598796104,0.0910905920926187,0.00358176162457622,0.0575454284920374,-0.109176260472248,-0.0392736189828224,-0.125642940509047,-0.124298633582678,0.0339752436015759,0.0432646676825386,0.0441260211213653,0.0836509131814223,0.0828803251741286
"T1_PolarMinBin",0.0158072867657408,-0.0328495645763528,-0.108731951244445,-0.0945756452739559,-0.0768780069526335,0.0365645861884499,-0.0620509440190255,0.0988919211265177,-0.0352280271546241,-0.0544653058868007,-0.0653416647114818,0.0656223064454282,-0.0041266117455046,-0.0487776571719819,0.0557111246755351,-0.00397023879684902,0.0309615459544178
"T1_PolarMinVal",-0.0101208264545686,0.0418572877787204,-0.0420595117918647,0.085401388337341,-0.0837304918939295,-0.0120457914455572,-0.0581134245468516,-0.0201620119073371,-0.00610987983558244,-0.0970777586615842,0.203805398185213,0.0630526886467192,-0.0860281962751782,0.0582043720576929,-0.00350289253305077,0.0115515454453804,-0.00128343235981654
"T1_PolarSdVal",-0.0191884498768951,0.098816938531941,-0.00944914004256882,0.076907234430885,0.00141062517414818,-0.120283372922343,-0.00454417393652395,-0.0910606429607694,0.0336537364417118,0.0318679782937398,0.113060200028096,0.0387925444839361,0.000130640117225704,0.0472959113214937,-0.0524751845406514,0.0456329161957099,0.0443748475047835
