ID,Year,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,genoYear,APA,genoAPA,TrainSessionCombo,genoAPATrainSessionCombo,genoAPATrainSessionComboInd,pair1,pair2,TotalPathArena.m,SpeedArena.cm.s,SdevSpeedArena.,Linearity.Arena.,NumEntrances,Time1stEntr,Path1stEntr,Speed1stEntr.cm.s.,Dist1stEntr.m.,NumShock,MaxTimeAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50.RngLoBin,Min50.RngHiBin,PolarMaxVal,PolarMaxBin,Max50.RngLoBin,Max50.RngHiBin,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis,Speed1,Speed2,EntrShockDiff
15146A,2015,WT,3-day,train-conflict,trained,1,T3,On,15146B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T3,WT_trained_conflict_T3,_15146A,15146A_,15146B_,13.69,2.28,2.26,0.3548,1,473.43,11.38,1.61,NA,1,473,NA,NA,NA,0.901,0.0026,0.4121,0.538,0.0472,0.78,141.65,227.29,43.64,0,0,160,130,0.1424,140,110,170,0.004,11.1,0.3556,18,16.59,10.93,1.83,10.24,0.024037344,NA,0
15146A,2015,WT,3-day,train-conflict,trained,2,Retest,On,15146B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retest,WT_trained_conflict_Retest,_15146A,15146A_,15146B_,15.64,2.61,3.11,0.3102,1,400.37,10.56,0.78,NA,1,400,NA,NA,NA,0.533,0.0014,0.1599,0.7456,0.0932,0.74,165.87,246.37,46.54,0,0,170,130,0.1185,160,120,190,0.0032,3.5,0.359,16.6,16.12,12.34,2.03,9.47,0.026375603,NA,0
15146A,2015,WT,3-day,train-conflict,trained,2,C2,On,15146B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T5_C2,WT_trained_conflict_T5_C2,_15146A,15146A_,15146B_,13.84,2.31,2.31,0.3562,1,542.4,14.28,2.82,NA,1,542,NA,NA,NA,0.634,0.0011,0.2202,0.7477,0.031,0.81,146.6,80.14,43.92,0,0,170,140,0.115,160,120,180,0.0011,3.5,0.3764,18,16.72,9.94,2.17,11.61,0.026327434,NA,0
15146A,2015,WT,3-day,train-conflict,trained,2,C3,On,15146B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T6_C3,WT_trained_conflict_T6_C3,_15146A,15146A_,15146B_,14.72,2.45,2.36,0.3718,1,372.7,9.33,2.82,NA,1,372,NA,NA,NA,1.133,0.0019,0.2074,0.7442,0.0465,0.81,143.79,77.16,44.14,0,0,150,120,0.1317,140,110,170,0.0078,11.1,0.3375,18,15.96,17.4,2.37,9.5,0.025033539,NA,0
15147A,2015,WT,3-day,train-conflict,trained,1,T3,On,15147B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T3,WT_trained_conflict_T3,_15147A,15147A_,15147B_,13.59,2.26,2.64,0.3114,1,180.6,4.8,1.96,NA,1,419,NA,NA,NA,0.533,0.0013,0.7589,0.2189,0.0209,0.81,117.47,209.02,38.97,0,0,130,100,0.1227,110,80,140,0.0028,3.5,0.485,18,17.07,11.89,2.56,12.69,0.026578073,NA,0
15148A,2015,WT,3-day,train-conflict,trained,1,T2,On,15148B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T2,WT_trained_conflict_T2,_15148A,15148A_,15148B_,13.03,2.17,2.44,0.3013,1,454.03,12.16,3,NA,1,454,NA,NA,NA,0.999,0.0025,0.2802,0.6879,0.0294,0.72,156.82,241.88,48.4,0,10,190,140,0.0942,180,120,200,0.0028,3.5,0.3626,18,16.23,11.79,1.73,7.07,0.026782371,NA,0
15148A,2015,WT,3-day,train-conflict,trained,1,T3,On,15148B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T3,WT_trained_conflict_T3,_15148A,15148A_,15148B_,12.77,2.13,2.59,0.2845,1,69.07,1.89,3.28,NA,1,530,NA,NA,NA,0.6,0.0014,0.192,0.7509,0.0557,0.74,172.87,258.7,44.54,0,0,210,170,0.1026,200,150,220,1.00E-04,3.5,0.3859,16.6,16.48,9.49,1.48,5.71,0.027363544,NA,0
16-124A,2016,WT,3-day,train-train,trained,2,Retest,On,16-357A,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,Retest,WT_trained_trained_Retest,_16-124A,16-124A_,16-357A_,11.87,1.98,2.08,0.3409,1,324.3,6.95,9.44,NA,1,324,NA,NA,NA,1.034,0.0026,0.2953,0.6794,0.0227,0.8,150.25,239.14,39.04,0,20,160,130,0.1221,150,120,180,0.0067,9.7,0.5652,15.8,15.08,6.04,2.67,13.81,0.021430774,NA,0
16-124A,2016,WT,3-day,train-train,trained,2,T5,On,16-357A,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T5_C2,WT_trained_trained_T5_C2,_16-124A,16-124A_,16-357A_,11.29,1.88,2.1,0.3359,1,385.53,8.23,2.02,NA,1,385,NA,NA,NA,0.6,0.0014,0.7147,0.2675,0.0164,0.78,119.16,207.9,42.57,0,0,130,100,0.1342,110,80,140,1.00E-04,16.9,0.6729,15.8,15.26,8.21,5.45,47.18,0.021347236,NA,0
16-357C,2016,WT,3-day,train-train,trained,1,T3,On,NA,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T3,WT_trained_trained_T3,_16-357C,16-357C_,NA_,13.23,2.21,2.12,0.3816,1,578.33,13.72,2.05,NA,1,578,NA,NA,NA,1.5,0.0041,0.0589,0.6766,0.2603,0.78,206.93,279.51,44.43,0,0,230,200,0.1161,220,180,240,0.0014,7.5,0.7194,15.8,15.35,5.29,3.72,29.24,0.02372348,NA,0
